protein_id,node_id
262374,1377
262375,1378
262376,1379
262384,1380
262395,1381
262406,1382
262407,1383
262415,1384
262418,1385
262428,1386
262430,1387
262441,1388
262442,1389
262460,1390
262461,1391
262462,1392
262482,1393
262483,1394
262494,1395
262498,1396
262507,1397
262518,1398
262519,1399
262545,1400
262554,1401
262613,1402
262623,1403
262626,1404
262629,1405
262633,1406
262640,1407
262644,1408
262646,1409
262653,1410
262662,1411
262710,1412
262719,1413
262741,1414
262746,1415
262752,1416
262764,1417
262765,1418
262768,1419
262776,1420
262794,1421
262809,1422
262811,1423
262844,1424
262848,1425
262850,1426
262865,1427
262879,1428
262887,1429
262916,1430
262919,1431
262932,1432
262958,1433
262960,1434
262962,1435
262965,1436
262971,1437
262982,1438
262990,1439
262995,1440
263025,1441
263026,1442
263035,1443
263038,1444
263054,1445
263063,1446
263071,1447
263080,1448
263087,1449
263088,1450
263093,1451
263094,1452
263100,1453
263150,1454
263160,1455
263168,1456
263181,1457
263182,1458
263196,1459
263202,1460
263205,1461
263207,1462
263208,1463
263209,1464
263212,1465
263233,1466
263246,1467
263253,1468
263256,1469
263257,1470
263265,1471
263269,1472
263274,1473
263277,1474
263278,1475
263321,1476
263334,1477
263346,1478
263354,1479
263368,1480
263372,1481
263377,1482
263383,1483
263384,1484
263388,1485
263390,1486
263408,1487
263413,1488
263431,1489
263433,1490
263440,1491
263461,1492
263519,1493
263549,1494
263559,1495
263576,1496
263579,1497
263593,1498
263620,1499
263635,1500
263636,1501
263645,1502
263671,1503
263674,1504
263686,1505
263694,1506
263697,1507
263702,1508
263710,1509
263713,1510
263733,1511
263735,1512
263736,1513
263753,1514
263754,1515
263773,1516
263774,1517
263776,1518
263780,1519
263791,1520
263798,1521
263805,1522
263847,1523
263851,1524
263856,1525
263857,1526
263867,1527
263881,1528
263897,1529
263904,1530
263915,1531
263918,1532
263921,1533
263923,1534
263925,1535
263932,1536
263934,1537
263946,1538
263955,1539
263960,1540
263966,1541
263967,1542
263974,1543
263980,1544
263985,1545
263991,1546
263997,1547
264012,1548
264020,1549
264025,1550
264027,1551
264029,1552
264031,1553
264033,1554
264036,1555
264042,1556
264051,1557
264057,1558
264059,1559
264071,1560
264072,1561
264079,1562
264093,1563
264094,1564
264108,1565
264110,1566
264151,1567
264161,1568
264167,1569
264170,1570
264183,1571
264187,1572
264192,1573
264228,1574
264230,1575
264231,1576
264234,1577
264246,1578
264249,1579
264254,1580
264255,1581
264260,1582
264263,1583
264265,1584
264279,1585
264313,1586
264331,1587
264344,1588
264346,1589
264350,1590
264360,1591
264376,1592
264377,1593
264381,1594
264382,1595
264399,1596
264400,1597
264409,1598
264414,1599
264428,1600
264433,1601
264434,1602
264436,1603
264463,1604
264474,1605
264498,1606
264499,1607
264501,1608
264515,1609
264538,1610
264552,1611
264553,1612
264554,1613
264595,1614
264601,1615
264605,1616
264613,1617
264637,1618
264638,1619
264645,1620
264651,1621
264658,1622
264669,1623
264674,1624
264689,1625
264703,1626
264705,1627
264709,1628
264710,1629
264711,1630
264716,1631
264717,1632
264718,1633
264731,1634
264734,1635
264758,1636
264771,1637
264775,1638
264819,1639
264828,1640
264832,1641
264834,1642
264864,1643
264870,1644
264904,1645
264908,1646
264914,1647
264917,1648
264926,1649
264930,1650
264932,1651
264935,1652
264938,1653
264951,1654
264952,1655
264954,1656
264956,1657
264968,1658
