protein_id,group
9606.ENSP00000284202,Enzyme
9606.ENSP00000354813,Enzyme
9606.ENSP00000216338,Enzyme
9606.ENSP00000378760,Enzyme
9606.ENSP00000463154,Enzyme
9606.ENSP00000377224,Enzyme
9606.ENSP00000370115,Enzyme
9606.ENSP00000368887,Enzyme
9606.ENSP00000437550,Enzyme
9606.ENSP00000466898,Enzyme
9606.ENSP00000483552,Enzyme
9606.ENSP00000263955,Enzyme
9606.ENSP00000376453,Enzyme
9606.ENSP00000377807,Enzyme
9606.ENSP00000355261,Enzyme
9606.ENSP00000389009,Enzyme
9606.ENSP00000363092,Enzyme
9606.ENSP00000301962,Enzyme
9606.ENSP00000301149,Enzyme
9606.ENSP00000244043,Enzyme
9606.ENSP00000219789,Enzyme
9606.ENSP00000362217,Enzyme
9606.ENSP00000363255,Enzyme
9606.ENSP00000482548,Enzyme
9606.ENSP00000322706,Enzyme
9606.ENSP00000364650,Enzyme
9606.ENSP00000371253,Enzyme
9606.ENSP00000475986,Enzyme
9606.ENSP00000242465,Enzyme
9606.ENSP00000234313,Enzyme
9606.ENSP00000331376,Enzyme
9606.ENSP00000222286,Enzyme
9606.ENSP00000354991,Enzyme
9606.ENSP00000385571,Enzyme
9606.ENSP00000450040,Enzyme
9606.ENSP00000370139,Enzyme
9606.ENSP00000296412,Enzyme
9606.ENSP00000261304,Enzyme
9606.ENSP00000228510,Enzyme
9606.ENSP00000404203,Enzyme
9606.ENSP00000410186,Enzyme
9606.ENSP00000382083,Enzyme
9606.ENSP00000480492,Enzyme
9606.ENSP00000318486,Enzyme
9606.ENSP00000215659,Enzyme
9606.ENSP00000472929,Enzyme
9606.ENSP00000306340,Enzyme
9606.ENSP00000369574,Enzyme
9606.ENSP00000342105,Enzyme
9606.ENSP00000364145,Enzyme
9606.ENSP00000263035,Enzyme
9606.ENSP00000363943,Enzyme
9606.ENSP00000385727,Enzyme
9606.ENSP00000308149,Enzyme
9606.ENSP00000375892,Enzyme
9606.ENSP00000457788,Enzyme
9606.ENSP00000261733,Enzyme
9606.ENSP00000261918,Enzyme
9606.ENSP00000353824,Enzyme
9606.ENSP00000327589,Enzyme
9606.ENSP00000316948,Enzyme
9606.ENSP00000370625,Enzyme
9606.ENSP00000361471,Enzyme
9606.ENSP00000263791,Enzyme
9606.ENSP00000343144,Enzyme
9606.ENSP00000392553,Enzyme
9606.ENSP00000319255,Enzyme
9606.ENSP00000458977,Enzyme
9606.ENSP00000364486,Enzyme
9606.ENSP00000291565,Enzyme
9606.ENSP00000344331,Enzyme
9606.ENSP00000233057,Enzyme
9606.ENSP00000274137,Enzyme
9606.ENSP00000303147,Enzyme
9606.ENSP00000354671,Enzyme
9606.ENSP00000454341,Enzyme
9606.ENSP00000355046,Enzyme
9606.ENSP00000408695,Enzyme
9606.ENSP00000281182,Enzyme
9606.ENSP00000359552,Enzyme
9606.ENSP00000361186,Enzyme
9606.ENSP00000215909,Enzyme
9606.ENSP00000229268,Enzyme
9606.ENSP00000349805,Enzyme
9606.ENSP00000362146,Enzyme
9606.ENSP00000375711,Enzyme
9606.ENSP00000401853,Enzyme
9606.ENSP00000364008,Enzyme
9606.ENSP00000344140,Enzyme
9606.ENSP00000483888,Enzyme
9606.ENSP00000345984,Enzyme
9606.ENSP00000311833,Enzyme
9606.ENSP00000222482,Enzyme
9606.ENSP00000326219,Enzyme
9606.ENSP00000356169,Enzyme
9606.ENSP00000258317,Enzyme
9606.ENSP00000414066,Enzyme
9606.ENSP00000495795,Enzyme
9606.ENSP00000370737,Enzyme
9606.ENSP00000357787,Enzyme
9606.ENSP00000262215,Enzyme
9606.ENSP00000342109,Enzyme
9606.ENSP00000295006,Enzyme
9606.ENSP00000368798,Enzyme
9606.ENSP00000216492,Enzyme
9606.ENSP00000497588,Enzyme
9606.ENSP00000435835,Enzyme
9606.ENSP00000288828,Enzyme
9606.ENSP00000335628,Enzyme
9606.ENSP00000258443,Receptor
9606.ENSP00000353731,Receptor
9606.ENSP00000312649,Receptor
9606.ENSP00000053469,Receptor
9606.ENSP00000299314,Receptor
9606.ENSP00000297313,Receptor
9606.ENSP00000394282,Receptor
9606.ENSP00000357127,Receptor
9606.ENSP00000319197,Receptor
9606.ENSP00000259030,Receptor
9606.ENSP00000292301,Receptor
9606.ENSP00000381105,Receptor
9606.ENSP00000481570,Receptor
9606.ENSP00000436453,Receptor
9606.ENSP00000437872,Receptor
9606.ENSP00000445383,Receptor
9606.ENSP00000366970,Receptor
9606.ENSP00000285735,Receptor
9606.ENSP00000303942,Receptor
9606.ENSP00000342836,Receptor
9606.ENSP00000282041,Receptor
